Symbol,Daily_Return
a,0.0018405894602337197
aa,0.0022332374029001485
aaap,0.005356053317523747
aaba,0.0028530537546240364
aac,0.0030201929981314222
aadr,0.001635095785075603
aal,0.00012675945061146006
aamc,0.0028221420499076923
aame,-0.0003678355470541116
aan,0.0009181154912992275
aaoi,0.004655807051584639
aaon,0.00024771118422805877
aap,-0.00309023170273275
aapl,0.0020214393997262407
aat,-0.0002776309952825678
aau,0.0005380453072845701
aav,-0.00042388945106392286
aaww,0.0003538170675340789
aaxj,0.0015364730681810444
aaxn,-0.00047322807048124873
ab,0.0007720655327714891
abac,0.0008371467167000943
abax,-0.00038369211038054947
abb,0.0010470330101978206
abbv,0.002163943225566815
abc,-2.6869204420633054e-06
abcb,0.00039055979632583986
abcd,0.0016015214328910388
abco,0.0023239508880160045
abdc,-0.0017199378695809079
abe,0.001194700623891605
abeo,0.006468302159771813
abeow,0.011874220939371367
abev,0.0012006938680785765
abg,0.00018449714503252163
abil,-0.0034519712108820933
abio,-0.0032821909598190493
ablx,-0.006005457583726125
abm,9.279364368904964e-05
abmd,0.002646483676711082
abr,0.0009488757132523371
abr_a,0.00015052806758953462
abr_b,0.00025766533032970946
abr_c,0.00027361974409638283
abrn,0.00018914358574825368
abt,0.0017766586271924707
abtx,0.0002507908271079253
abus,0.005020847935998679
abx,-0.0004015278009294143
aby,0.00120415015067374
ac,0.0003318596578077912
acad,0.00034416295031430117
acbi,-0.0005562482952594758
acc,-0.0005685540332686977
acco,0.00010598717665046873
acer,0.0054379536704080534
acerw,0.013807984705051901
acet,-0.003504517974079176
acfc,0.0012299286437693693
acgl,0.000497066798091806
acglo,0.00019021216598477452
acglp,0.0008732979934910468
ach,0.0031829084408518606
achc,-0.0003384965714265514
achn,0.0004923272124809269
achv,-0.004632569207548347
acia,-0.001860857289752143
acim,0.000786352859230728
aciu,-7.149109806325395e-05
aciw,0.0013152136630721826
acls,0.0042355401495262615
acm,4.650966430020403e-05
acmr,-0.01061700529167212
acn,0.0010711020487261542
acnb,-0.00031558310156562487
acor,0.0026096229905066804
acp,0.0005865481829789577
acre,7.766992497351554e-05
acrs,-0.0003562801182186381
acrx,0.001302609321324981
acsf,-0.00010180021808940134
acsi,0.00043201383992002386
acst,0.0006489876130114524
acta,0.0006975666040825082
actg,-0.0015806621603187828
actx,0.001332002482235753
acu,-0.00023727163850389488
acv,0.0011647586951567524
acwf,0.001213117037637965
acwi,0.000855802913145298
acwv,0.0006505986408133725
acwx,0.0009970041509581458
acxm,7.447398134782806e-05
acy,0.0020862819854242376
adap,0.0038703381058156974
adbe,0.0026920181186009923
